8645;9472;11266;13149;15779;
9472;11266;13149;15779;18390;
11266;13149;15779;18390;18917;
13149;15779;18390;18917;21057;
15779;18390;18917;21057;24514;
18390;18917;21057;24514;26065;
18917;21057;24514;26065;27086;
21057;24514;26065;27086;29813;
24514;26065;27086;29813;33193;
26065;27086;29813;33193;36635;
27086;29813;33193;36635;41224;
29813;33193;36635;41224;44505;
33193;36635;41224;44505;50900;
36635;41224;44505;50900;58061;
41224;44505;50900;58061;64053;
44505;50900;58061;64053;69541;
50900;58061;64053;69541;76194;
58061;64053;69541;76194;91212;
64053;69541;76194;91212;117893;
69541;76194;91212;117893;113297;
76194;91212;117893;113297;131219;
91212;117893;113297;131219;139897;
117893;113297;131219;139897;145671;
113297;131219;139897;145671;160785;
131219;139897;145671;160785;179120;
139897;145671;160785;179120;202931;
145671;160785;179120;202931;218701;
160785;179120;202931;218701;221022;
179120;202931;218701;221022;249624;
202931;218701;221022;249624;274648;
218701;221022;249624;274648;269125;
221022;249624;274648;269125;269644;
249624;274648;269125;269644;290237;
274648;269125;269644;290237;327759;
269125;269644;290237;327759;348117;
269644;290237;327759;348117;340425;
290237;327759;348117;340425;343180;
327759;348117;340425;343180;321289;
348117;340425;343180;321289;353084;
340425;343180;321289;353084;383232;
343180;321289;353084;383232;403377;
321289;353084;383232;403377;454342;
353084;383232;403377;454342;488371;
383232;403377;454342;488371;510008;
403377;454342;488371;510008;597440;
454342;488371;510008;597440;638268;
488371;510008;597440;638268;651320;
510008;597440;638268;651320;664455;
597440;638268;651320;664455;731544;
638268;651320;664455;731544;786266;
651320;664455;731544;786266;893042;
664455;731544;786266;893042;965236;
731544;786266;893042;965236;984140;
786266;893042;965236;984140;803312;
893042;965236;984140;803312;951959;
965236;984140;803312;951959;1061225;
984140;803312;951959;1061225;1092627;
803312;951959;1061225;1092627;1088025;
951959;1061225;1092627;1088025;1123746;
1061225;1092627;1088025;1123746;1193555;
1092627;1088025;1123746;1193555;1203833;
1088025;1123746;1193555;1203833;1278958;
1123746;1193555;1203833;1278958;1317440;
1193555;1203833;1278958;1317440;1328152;
1203833;1278958;1317440;1328152;1206928;
1278958;1317440;1328152;1206928;1379346;
