8284;8186;9887;12512;14298;
8186;9887;12512;14298;16206;
9887;12512;14298;16206;15918;
12512;14298;16206;15918;18316;
14298;16206;15918;18316;21844;
16206;15918;18316;21844;22682;
15918;18316;21844;22682;25308;
18316;21844;22682;25308;26729;
21844;22682;25308;26729;30084;
22682;25308;26729;30084;36019;
25308;26729;30084;36019;37156;
26729;30084;36019;37156;35884;
30084;36019;37156;35884;41506;
36019;37156;35884;41506;50092;
37156;35884;41506;50092;56041;
35884;41506;50092;56041;61416;
41506;50092;56041;61416;65826;
50092;56041;61416;65826;74351;
56041;61416;65826;74351;91896;
61416;65826;74351;91896;94238;
65826;74351;91896;94238;113595;
74351;91896;94238;113595;120245;
91896;94238;113595;120245;124605;
94238;113595;120245;124605;149318;
113595;120245;124605;149318;174545;
120245;124605;149318;174545;188758;
124605;149318;174545;188758;192483;
149318;174545;188758;192483;199502;
174545;188758;192483;199502;222032;
188758;192483;199502;222032;237143;
192483;199502;222032;237143;211544;
199502;222032;237143;211544;209446;
222032;237143;211544;209446;224769;
237143;211544;209446;224769;258951;
211544;209446;224769;258951;293215;
209446;224769;258951;293215;329228;
224769;258951;293215;329228;325972;
258951;293215;329228;325972;289644;
293215;329228;325972;289644;315444;
329228;325972;289644;315444;339618;
325972;289644;315444;339618;352995;
289644;315444;339618;352995;394794;
315444;339618;352995;394794;423452;
339618;352995;394794;423452;444797;
352995;394794;423452;444797;538311;
394794;423452;444797;538311;542774;
423452;444797;538311;542774;518532;
444797;538311;542774;518532;534534;
538311;542774;518532;534534;575448;
542774;518532;534534;575448;628087;
518532;534534;575448;628087;733994;
534534;575448;628087;733994;769887;
575448;628087;733994;769887;805842;
628087;733994;769887;805842;664615;
733994;769887;805842;664615;797097;
769887;805842;664615;797097;902523;
805842;664615;797097;902523;899405;
664615;797097;902523;899405;890393;
797097;902523;899405;890393;910145;
902523;899405;890393;910145;949245;
899405;890393;910145;949245;954917;
890393;910145;949245;954917;1031013;
910145;949245;954917;1031013;1088720;
949245;954917;1031013;1088720;1104141;
954917;1031013;1088720;1104141;1026502;
1031013;1088720;1104141;1026502;1204050;
